"Target","Side","Case","Cells","Values","Weights","Topology","Compatibility","Trace","Repeat","ElapsedMs","MinimumMs","MaximumMs","Decisions","Propagations","Backtracks","Contradictions","TraceEvents","RngDraws","AssignmentChecksum"
"stable64","baseline","line-16-v1024-skewed-equal","16","1024","skewed","line","equal","0","1","265","265","265","1","15345","0","0","0","1","58D6A1F6"
"current64","baseline","independent-256-v2-unit-t0","256","2","unit","independent","dense","0","8","0","0","0","256","0","0","0","0","256","3B22F43A"
"current64","candidate","independent-256-v2-unit-t0","256","2","unit","independent","dense","0","8","0","0","0","256","0","0","0","0","256","3B22F43A"
"current64","candidate","independent-256-v2-unit-t1","256","2","unit","independent","dense","1","8","0","0","0","256","0","0","0","513","256","3B22F43A"
"current64","baseline","independent-256-v2-unit-t1","256","2","unit","independent","dense","1","8","16","0","16","256","0","0","0","513","256","3B22F43A"
"current64","baseline","independent-256-v2-skewed-t0","256","2","skewed","independent","dense","0","8","31","0","16","256","0","0","0","0","256","1E5227BE"
"current64","candidate","independent-256-v2-skewed-t0","256","2","skewed","independent","dense","0","8","0","0","0","256","0","0","0","0","256","1E5227BE"
"current64","candidate","independent-256-v2-skewed-t1","256","2","skewed","independent","dense","1","8","0","0","0","256","0","0","0","513","256","1E5227BE"
"current64","baseline","independent-256-v2-skewed-t1","256","2","skewed","independent","dense","1","8","31","0","16","256","0","0","0","513","256","1E5227BE"
"current64","baseline","independent-256-v4-unit-t0","256","4","unit","independent","dense","0","8","0","0","0","256","0","0","0","0","256","7FB94FF0"
"current64","candidate","independent-256-v4-unit-t0","256","4","unit","independent","dense","0","8","0","0","0","256","0","0","0","0","256","7FB94FF0"
"current64","candidate","independent-256-v4-unit-t1","256","4","unit","independent","dense","1","8","0","0","0","256","0","0","0","1025","256","7FB94FF0"
"current64","baseline","independent-256-v4-unit-t1","256","4","unit","independent","dense","1","8","16","0","16","256","0","0","0","1025","256","7FB94FF0"
"current64","baseline","independent-256-v4-skewed-t0","256","4","skewed","independent","dense","0","8","46","0","16","256","0","0","0","0","256","5AA7FFAA"
"current64","candidate","independent-256-v4-skewed-t0","256","4","skewed","independent","dense","0","8","16","0","16","256","0","0","0","0","256","5AA7FFAA"
"current64","candidate","independent-256-v4-skewed-t1","256","4","skewed","independent","dense","1","8","0","0","0","256","0","0","0","1025","256","5AA7FFAA"
"current64","baseline","independent-256-v4-skewed-t1","256","4","skewed","independent","dense","1","8","47","0","16","256","0","0","0","1025","256","5AA7FFAA"
"current64","baseline","independent-1024-v2-unit-t0","1024","2","unit","independent","dense","0","2","0","0","0","1024","0","0","0","0","1024","2F801D18"
"current64","candidate","independent-1024-v2-unit-t0","1024","2","unit","independent","dense","0","2","16","0","16","1024","0","0","0","0","1024","2F801D18"
